"institution","consortium","contract_name","identifier","period_from","period_to","cost_type","euro","group_id"
"TH Ingolstadt","hebis-Konsortium (German Academic Consortium)","ACM (hebis) 2021-2028","acm2021hebis",2024,2024,"publish",2486.19,"02bxzcy64_acm2021hebis_2024"
"TH Ingolstadt","hebis-Konsortium (German Academic Consortium)","ACM (hebis) 2021-2028","acm2021hebis",2024,2024,"read",5217.31,"02bxzcy64_acm2021hebis_2024"
"TH Ingolstadt","Projekt DEAL Consortium","Elsevier (DEAL) 2023-2028","els2023deal",2024,2024,"publish",15593.11,"02bxzcy64_els2023deal_2024"
"TH Ingolstadt","Projekt DEAL Consortium","Elsevier (DEAL) 2023-2028","els2023deal",2024,2024,"read",23389.13,"02bxzcy64_els2023deal_2024"
"TH Ingolstadt","Projekt DEAL Consortium","Elsevier (DEAL) 2023-2028","els2023deal",2024,2024,"service fee",1819.0,"02bxzcy64_els2023deal_2024"
"TH Ingolstadt","Projekt DEAL Consortium","Wiley (DEAL) 2024-2028","wiley2024deal",2024,2024,"publish",3285.97,"02bxzcy64_wiley2024deal_2024"
"TH Ingolstadt","Projekt DEAL Consortium","Wiley (DEAL) 2024-2028","wiley2024deal",2024,2024,"read",673.03,"02bxzcy64_wiley2024deal_2024"
"TH Ingolstadt","Projekt DEAL Consortium","Wiley (DEAL) 2024-2028","wiley2024deal",2024,2024,"service fee",107.0,"02bxzcy64_wiley2024deal_2024"
"TH Ingolstadt","Projekt DEAL Consortium","Springer Nature (DEAL) 2024-2028","sn2024deal",2024,2024,"publish",7660.4,"02bxzcy64_sn2024deal_2024"
"TH Ingolstadt","Projekt DEAL Consortium","Springer Nature (DEAL) 2024-2028","sn2024deal",2024,2024,"read",1044.6,"02bxzcy64_sn2024deal_2024"
"TH Ingolstadt","Projekt DEAL Consortium","Springer Nature (DEAL) 2024-2028","sn2024deal",2024,2024,"service fee",856.0,"02bxzcy64_sn2024deal_2024"
"TH Ingolstadt","Projekt DEAL Consortium","Springer Nature (DEAL) 2020-2023","sn2020deal",2023,2023,"read",696.4,"02bxzcy64_sn2020deal_2023"
"TH Ingolstadt","Projekt DEAL Consortium","Springer Nature (DEAL) 2020-2023","sn2020deal",2023,2023,"publish",5679.67,"02bxzcy64_sn2020deal_2023"
"TH Ingolstadt","Projekt DEAL Consortium","Springer Nature (DEAL) 2020-2023","sn2020deal",2023,2023,"read",1165.4,"02bxzcy64_sn2020deal_2023"
"TH Ingolstadt","Projekt DEAL Consortium","Springer Nature (DEAL) 2020-2023","sn2020deal",2023,2023,"publish",9504.73,"02bxzcy64_sn2020deal_2023"
"TH Ingolstadt","Projekt DEAL Consortium","Wiley (DEAL) 2019-2023","wiley2019deal",2023,2023,"read",2776.5,"02bxzcy64_wiley2019deal_2023"
"TH Ingolstadt","Projekt DEAL Consortium","Wiley (DEAL) 2019-2023","wiley2019deal",2023,2023,"publish",3213.93,"02bxzcy64_wiley2019deal_2023"
"TH Ingolstadt","Projekt DEAL Consortium","Elsevier (DEAL) 2023-2028","els2023deal",2023,2023,"read",6957.68,"02bxzcy64_els2023deal_2023"
"TH Ingolstadt","Projekt DEAL Consortium","Elsevier (DEAL) 2023-2028","els2023deal",2023,2023,"publish",5158.65,"02bxzcy64_els2023deal_2023"
"TH Ingolstadt","Projekt DEAL Consortium","Elsevier (DEAL) 2023-2028","els2023deal",2023,2023,"read",-3747.68,"02bxzcy64_els2023deal_2023"
"TH Ingolstadt","Projekt DEAL Consortium","Elsevier (DEAL) 2023-2028","els2023deal",2023,2023,"publish",-2778.65,"02bxzcy64_els2023deal_2023"
