"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj","agreement"
"FWF - Austrian Science Fund",2018,NA,"10.1039/c8tc03537g",TRUE,"Royal Society of Chemistry (RSC)","Journal of Materials Chemistry C","2050-7526","2050-7526","2050-7534","2050-7526","http://creativecommons.org/licenses/by/3.0/",TRUE,"30294446","PMC6167949","ut:000449750600008",NA,FALSE,"Austrian Consortium RSC agreement"
"Johannes Kepler University Linz",2018,NA,"10.1039/c8fd00050f",TRUE,"Royal Society of Chemistry (RSC)","Faraday Discussions","1359-6640","1359-6640","1364-5498","1359-6640","http://creativecommons.org/licenses/by/3.0/",TRUE,"29972179","PMC6161257","ut:000448410600003",NA,FALSE,"Austrian Consortium RSC agreement"
"University of Vienna",2018,NA,"10.1039/c8sm01788c",TRUE,"Royal Society of Chemistry (RSC)","Soft Matter","1744-683X","1744-683X","1744-6848","1744-683X","http://creativecommons.org/licenses/by/3.0/",TRUE,"30444235","PMC6289104","ut:000452321400003",NA,FALSE,"Austrian Consortium RSC agreement"
"University of Vienna",2018,NA,"10.1039/c8cp00672e",TRUE,"Royal Society of Chemistry (RSC)","Physical Chemistry Chemical Physics","1463-9076","1463-9076","1463-9084","1463-9076","http://creativecommons.org/licenses/by/3.0/",TRUE,"29568829",NA,"ut:000429205700009",NA,FALSE,"Austrian Consortium RSC agreement"
"Graz University of Technology",2018,NA,"10.1039/c8ce01596a",TRUE,"Royal Society of Chemistry (RSC)","CrystEngComm","1466-8033",NA,"1466-8033","1466-8033","http://creativecommons.org/licenses/by-nc/3.0/",TRUE,"30760969","PMC6336086","ut:000453688500014",NA,FALSE,"Austrian Consortium RSC agreement"
"Graz University of Technology",2018,NA,"10.1039/c8sm00653a",TRUE,"Royal Society of Chemistry (RSC)","Soft Matter","1744-683X","1744-683X","1744-6848","1744-683X","http://creativecommons.org/licenses/by-nc/3.0/",TRUE,"29938267",NA,"ut:000442269000019",NA,FALSE,"Austrian Consortium RSC agreement"
"University of Vienna",2018,NA,"10.1039/c8an00258d",TRUE,"Royal Society of Chemistry (RSC)","The Analyst","0003-2654","0003-2654","1364-5528","0003-2654","http://creativecommons.org/licenses/by/3.0/",TRUE,"29629473","PMC5933000","ut:000431109400003",NA,FALSE,"Austrian Consortium RSC agreement"
"Graz University of Technology",2018,NA,"10.1039/c8sm00545a",TRUE,"Royal Society of Chemistry (RSC)","Soft Matter","1744-683X","1744-683X","1744-6848","1744-683X","http://creativecommons.org/licenses/by/3.0/",TRUE,"29767175",NA,"ut:000434697000013",NA,FALSE,"Austrian Consortium RSC agreement"
"University of Vienna",2018,NA,"10.1039/c8cp02111b",TRUE,"Royal Society of Chemistry (RSC)","Physical Chemistry Chemical Physics","1463-9076","1463-9076","1463-9084","1463-9076","http://creativecommons.org/licenses/by/3.0/",TRUE,"29808190",NA,"ut:000439170200015",NA,FALSE,"Austrian Consortium RSC agreement"
"University of Vienna",2018,NA,"10.1039/c7cp07052g",TRUE,"Royal Society of Chemistry (RSC)","Physical Chemistry Chemical Physics","1463-9076","1463-9076","1463-9084","1463-9076","http://creativecommons.org/licenses/by/3.0/",TRUE,"29400383","PMC5815284","ut:000425107800065",NA,FALSE,"Austrian Consortium RSC agreement"
"University of Vienna",2018,NA,"10.1039/c7cp08549d",TRUE,"Royal Society of Chemistry (RSC)","Physical Chemistry Chemical Physics","1463-9076","1463-9076","1463-9084","1463-9076","http://creativecommons.org/licenses/by/3.0/",TRUE,"29542743","PMC5885803","ut:000428779700018",NA,FALSE,"Austrian Consortium RSC agreement"
"University of Innsbruck",2018,NA,"10.1039/c7cp07773d",TRUE,"Royal Society of Chemistry (RSC)","Physical Chemistry Chemical Physics","1463-9076","1463-9076","1463-9084","1463-9076","http://creativecommons.org/licenses/by/3.0/",TRUE,"29473922",NA,"ut:000431821800025",NA,FALSE,"Austrian Consortium RSC agreement"
"Graz University of Technology",2018,NA,"10.1039/c8dt00315g",TRUE,"Royal Society of Chemistry (RSC)","Dalton Transactions","1477-9226","1477-9226","1477-9234","1477-9226","http://creativecommons.org/licenses/by-nc/3.0/",TRUE,"29658036","PMC5946683","ut:000431816000014",NA,FALSE,"Austrian Consortium RSC agreement"
"Johannes Kepler University Linz",2018,NA,"10.1039/c8se00422f",TRUE,"Royal Society of Chemistry (RSC)","Sustainable Energy & Fuels","2398-4902",NA,"2398-4902","2398-4902","http://creativecommons.org/licenses/by/3.0/",TRUE,"31497650","PMC6695572","ut:000451078300019",NA,FALSE,"Austrian Consortium RSC agreement"
"University of Vienna",2018,NA,"10.1039/c7an01984j",TRUE,"Royal Society of Chemistry (RSC)","The Analyst","0003-2654","0003-2654","1364-5528","0003-2654","http://creativecommons.org/licenses/by/3.0/",TRUE,"29431763",NA,"ut:000426704200027",NA,FALSE,"Austrian Consortium RSC agreement"
"University of Vienna",2018,NA,"10.1039/c8ob00419f",TRUE,"Royal Society of Chemistry (RSC)","Organic & Biomolecular Chemistry","1477-0520","1477-0520","1477-0539","1477-0520","http://creativecommons.org/licenses/by/3.0/",TRUE,"29717748",NA,"ut:000432585800020",NA,FALSE,"Austrian Consortium RSC agreement"
"Graz University of Technology",2018,NA,"10.1039/c7pp00401j",TRUE,"Royal Society of Chemistry (RSC)","Photochemical & Photobiological Sciences","1474-905X","1474-905X","1474-9092","1474-905X","http://creativecommons.org/licenses/by-nc/3.0/",TRUE,"29714365",NA,"ut:000432600400017",NA,FALSE,"Austrian Consortium RSC agreement"
"Graz University of Technology",2018,NA,"10.1039/c8py01195h",TRUE,"Royal Society of Chemistry (RSC)","Polymer Chemistry","1759-9954","1759-9954","1759-9962","1759-9954","http://creativecommons.org/licenses/by-nc/3.0/",TRUE,NA,NA,"ut:000448423600005",NA,FALSE,"Austrian Consortium RSC agreement"
"University of Vienna",2018,NA,"10.1039/c8an01219a",TRUE,"Royal Society of Chemistry (RSC)","The Analyst","0003-2654","0003-2654","1364-5528","0003-2654","http://creativecommons.org/licenses/by/3.0/",TRUE,"30411762",NA,"ut:000453672400016",NA,FALSE,"Austrian Consortium RSC agreement"
"University of Vienna",2018,NA,"10.1039/c7dt04537a",TRUE,"Royal Society of Chemistry (RSC)","Dalton Transactions","1477-9226","1477-9226","1477-9234","1477-9226","http://creativecommons.org/licenses/by-nc/3.0/",TRUE,"29560976","PMC5933005","ut:000430328100018",NA,FALSE,"Austrian Consortium RSC agreement"
"Graz University of Technology",2018,NA,"10.1039/c8re00278a",TRUE,"Royal Society of Chemistry (RSC)","Reaction Chemistry & Engineering","2058-9883",NA,"2058-9883","2058-9883","http://creativecommons.org/licenses/by/3.0/",TRUE,NA,NA,"ut:000459587000018",NA,FALSE,"Austrian Consortium RSC agreement"
"TU Wien (TUW)",2018,NA,"10.1039/c8cy00818c",TRUE,"Royal Society of Chemistry (RSC)","Catalysis Science & Technology","2044-4753","2044-4753","2044-4761","2044-4753","http://creativecommons.org/licenses/by/3.0/",TRUE,NA,NA,"ut:000448144600026",NA,FALSE,"Austrian Consortium RSC agreement"
"University of Vienna",2018,NA,"10.1039/c8cp02046a",TRUE,"Royal Society of Chemistry (RSC)","Physical Chemistry Chemical Physics","1463-9076","1463-9076","1463-9084","1463-9076","http://creativecommons.org/licenses/by/3.0/",TRUE,"29901056",NA,"ut:000436571800002",NA,FALSE,"Austrian Consortium RSC agreement"
"University of Vienna",2018,NA,"10.1039/c8cp01058g",TRUE,"Royal Society of Chemistry (RSC)","Physical Chemistry Chemical Physics","1463-9076","1463-9076","1463-9084","1463-9076","http://creativecommons.org/licenses/by-nc/3.0/",TRUE,"29645042","PMC5932999","ut:000431821800080",NA,FALSE,"Austrian Consortium RSC agreement"
"University of Vienna",2018,NA,"10.1039/c8en00038g",TRUE,"Royal Society of Chemistry (RSC)","Environmental Science: Nano","2051-8153","2051-8153","2051-8161","2051-8153","http://creativecommons.org/licenses/by/3.0/",TRUE,"29755738","PMC5918303","ut:000435963000005",NA,FALSE,"Austrian Consortium RSC agreement"
